subject,subject_type,done
affectugender,gender,y
agender,gender,y
androgyne,gender,y
androsexual,sexuality,y
aromantic,sexuality,y
asexual,sexuality,y
autigender,gender,y
bigender,gender,y
bisexual,sexuality,y
cavusgender,gender,y
demiboy,gender,y
demifluid,gender,y
demigirl,gender,y
demisexual,sexuality,y
genderfluid,gender,y
genderflux,gender,y
genderqueer,gender,y
gynosexual,sexuality,y
intergender,gender,y
intersex,gender,y
lesbian,sexuality,y
librafeminine,gender,y
librafluid,gender,y
libramasculine,gender,y
maverique,gender,y
neurogender,gender,y
neutrois,gender,y
nonbinary,gender,y
pansexual,sexuality,y
polygender,gender,y
polysexual,sexuality,y
pride,sexuality,y
transfeminine,gender,y
transgender,gender,y
transmasculine,gender,y
trigender,gender,y
polyamorous,sexuality,y
